P 31 1 2 , 106
P 42 2 2 , 69
P 21 21 21 , 24969
A 1 2 1 , 1
I -4 2 d , 1
P 62 2 2 , 371
P 1 (-a,-b+c,b+c) , 1
I 4 2 2 , 624
P 2 21 2 , 2
P n n a , 1
P 61 2 2 , 1852
P 3 , 215
P 1 , 4408
P 6 , 267
P 4 , 110
P 64 , 259
C 2 2 2 , 239
P 43 2 2 , 295
P -3 , 1
I -4 c 2 , 1
P -1 , 24
P 65 , 1191
P 62 , 223
P 63 , 766
P 61 , 1252
P 41 3 2 , 190
C 1 2 1 (a+c-1/4,b-1/4,c) , 13
P 21 21 2 (a-1/4,b-1/4,c) , 1
I 41 3 2 , 71
P 1 21/n 1 , 4
I 21 21 21 , 280
P 63 2 2 , 569
I 2 3 , 476
P 3 1 2 , 20
P 6 2 2 , 97
C 1 2/c 1 , 4
I 41 , 342
I 4 3 2 , 113
P 64 2 2 , 329
P 21 2 2 , 1
I 41 2 2 , 629
P 32 1 2 , 128
B 1 1 2 , 23
P 43 3 2 , 104
P 1 21/c 1 , 5
P 4 3 2 , 62
F 4 3 2 , 232
P 43 21 2 , 4263
P 3 2 1 , 368
R 3 2 :H , 1565
P 1 1 2 , 2
R 3 2 :R , 4
I 2 2 2 , 2434
P b c a , 2
C 2 2 21 , 5673
P 31 2 1 , 3248
P 21 21 2 , 5651
P 65 2 2 , 1569
P 4 21 2 , 417
P 41 2 2 , 270
P 42 21 2 , 592
P 32 2 1 , 3481
R -3 :H , 1
P 1 2 1 , 233
R 3 :H , 1568
P 4 2 2 , 58
I 1 2 1 , 219
P 2 21 21 , 536
P 21 3 , 555
R 3 :R , 6
P 2 3 , 63
F 2 3 , 120
F 2 2 2 , 160
C 1 2 1 , 10881
P 1 1 21 , 6
I 41/a :2 , 3
I 21 3 , 282
P 41 21 2 , 3573
P 31 , 694
P 32 , 660
I 4 , 612
P 2 2 21 , 142
P 2 2 2 , 13
P 1 21 1 , 18539
P 21 2 21 , 192
B 2 21 2 , 1
F 41 3 2 , 67
P 41 , 711
P 42 , 92
P 43 , 605
P 42 3 2 , 30
